action,step,time,p,p2,p3,b,serving1,serving2,serving3,c1,getting1,c2,getting2,c3,getting3,f,b2,serving11,serving12,serving13,c11,getting11,c12,getting12,c13,getting13
[con_ready2],233,1034.9432404180186,20,20,20,1,false,true,false,18,false,19,true,22,false,18,0,false,false,false,8,false,5,false,5,false
[forwarding],234,1035.4441287724162,20,20,20,1,false,true,false,18,false,19,true,22,false,19,1,false,false,false,8,false,5,false,5,false
[consuming2],235,1036.6951775223852,20,20,20,0,false,false,false,18,false,20,false,22,false,19,1,false,false,false,8,false,5,false,5,false
[con_ready11],236,1039.7270071876962,20,20,20,0,false,false,false,18,false,20,false,22,false,19,1,true,false,false,8,true,5,false,5,false
[consuming11],237,1039.758832322035,20,20,20,0,false,false,false,18,false,20,false,22,false,19,0,false,false,false,9,false,5,false,5,false
[forwarding],238,1070.472725509267,20,20,20,0,false,false,false,18,false,20,false,22,false,20,1,false,false,false,9,false,5,false,5,false
[con_ready11],239,1085.1035077099748,20,20,20,0,false,false,false,18,false,20,false,22,false,20,1,true,false,false,9,true,5,false,5,false
[consuming11],240,1085.8174348836858,20,20,20,0,false,false,false,18,false,20,false,22,false,20,0,false,false,false,10,false,5,false,5,false
[forwarding],241,1152.0307063536113,20,20,20,0,false,false,false,18,false,20,false,22,false,21,1,false,false,false,10,false,5,false,5,false
[con_ready11],242,1153.7622694504398,20,20,20,0,false,false,false,18,false,20,false,22,false,21,1,true,false,false,10,true,5,false,5,false
[consuming11],243,1155.143405506128,20,20,20,0,false,false,false,18,false,20,false,22,false,21,0,false,false,false,11,false,5,false,5,false
[forwarding],244,1160.0126542134087,20,20,20,0,false,false,false,18,false,20,false,22,false,22,1,false,false,false,11,false,5,false,5,false
[con_ready13],245,1167.0804188761979,20,20,20,0,false,false,false,18,false,20,false,22,false,22,1,false,false,true,11,false,5,false,5,true
[consuming13],246,1168.0154791737928,20,20,20,0,false,false,false,18,false,20,false,22,false,22,0,false,false,false,11,false,5,false,6,false
