action,step,time,p,p2,p3,b,serving1,serving2,serving3,c1,getting1,c2,getting2,f2,c3,getting3,f3,b1,serving11,serving12,serving13,b2,serving21,serving22,serving23,c11,getting11,c12,getting12,c13,getting13,c21,getting21,c22,getting22,c23,getting23
[forwarding2],133,365.8107604725079,7,11,20,6,false,false,false,14,false,8,false,5,10,false,6,1,false,false,false,0,false,false,false,3,false,0,false,1,false,3,false,3,false,0,false
[con_ready2],134,370.44296699773975,7,11,20,6,false,true,false,14,false,8,true,5,10,false,6,1,false,false,false,0,false,false,false,3,false,0,false,1,false,3,false,3,false,0,false
[consuming2],135,370.46884567739664,7,11,20,5,false,false,false,14,false,9,false,5,10,false,6,1,false,false,false,0,false,false,false,3,false,0,false,1,false,3,false,3,false,0,false
[producing2],136,373.526452710366,7,12,20,6,false,false,false,14,false,9,false,5,10,false,6,1,false,false,false,0,false,false,false,3,false,0,false,1,false,3,false,3,false,0,false
[con_ready11],137,378.0678313152634,7,12,20,6,false,false,false,14,false,9,false,5,10,false,6,1,true,false,false,0,false,false,false,3,true,0,false,1,false,3,false,3,false,0,false
[producing2],138,378.4511762275915,7,13,20,7,false,false,false,14,false,9,false,5,10,false,6,1,true,false,false,0,false,false,false,3,true,0,false,1,false,3,false,3,false,0,false
[consuming11],139,378.8174691556474,7,13,20,7,false,false,false,14,false,9,false,5,10,false,6,0,false,false,false,0,false,false,false,4,false,0,false,1,false,3,false,3,false,0,false
[producing2],140,382.2954589910121,7,14,20,8,false,false,false,14,false,9,false,5,10,false,6,0,false,false,false,0,false,false,false,4,false,0,false,1,false,3,false,3,false,0,false
[forwarding2],141,383.48207862413153,7,14,20,8,false,false,false,14,false,9,false,6,10,false,6,1,false,false,false,0,false,false,false,4,false,0,false,1,false,3,false,3,false,0,false
[con_ready13],142,384.04295061407885,7,14,20,8,false,false,false,14,false,9,false,6,10,false,6,1,false,false,true,0,false,false,false,4,false,0,false,1,true,3,false,3,false,0,false
[consuming13],143,384.58519777020877,7,14,20,8,false,false,false,14,false,9,false,6,10,false,6,0,false,false,false,0,false,false,false,4,false,0,false,2,false,3,false,3,false,0,false
[forwarding3],144,389.3937846971098,7,14,20,8,false,false,false,14,false,9,false,6,10,false,7,0,false,false,false,1,false,false,false,4,false,0,false,2,false,3,false,3,false,0,false
